Количество элементов,С разбиением Ломуто,С разбиением Хоара/pivot – последний,С разбиением Хоара/pivot – случайный,С разбиением Хоара/pivot – медиана,С оптимизацией partition,С одной рекурсивной веткой,Без рекурсии,С опимизации концевой рекурсии
100000,33,23,26,21,17,22,39,16,
200000,50,42,50,41,34,38,69,33,
300000,80,62,67,63,50,58,109,52,
400000,102,81,91,80,69,79,141,68,
500000,130,102,116,102,86,99,176,85,
600000,150,126,132,121,99,120,210,104,
700000,186,145,159,145,119,140,249,123,
800000,253,169,185,188,142,163,288,143,
900000,239,198,211,187,155,183,323,164,
1000000,270,218,240,209,174,205,363,179,
1100000,300,234,263,232,192,230,399,200,
1200000,329,265,283,266,209,260,438,223,
1300000,368,282,309,282,230,275,474,247,
1400000,394,304,337,301,250,304,507,260,
1500000,439,330,359,327,264,325,547,282,
