Количество элементов,С разбиением Ломуто,С разбиением Хоара/pivot – последний,С разбиением Хоара/pivot – случайный,С разбиением Хоара/pivot – медиана,С оптимизацией partition,С одной рекурсивной веткой,Без рекурсии,С опимизации концевой рекурсии
100000,42,32,27,21,18,20,35,15,
200000,50,43,48,40,33,39,71,33,
300000,75,61,69,62,51,62,114,53,
400000,103,83,93,83,71,82,142,68,
500000,130,105,116,103,86,102,179,88,
600000,166,126,138,118,99,116,206,101,
700000,191,146,160,143,121,143,248,125,
800000,209,167,187,169,138,165,284,143,
900000,238,194,215,251,193,187,330,162,
1000000,278,223,234,210,173,206,360,180,
1100000,301,236,261,241,196,233,397,199,
1200000,328,258,285,258,208,254,437,222,
1300000,378,280,308,280,229,277,478,240,
1400000,392,310,333,301,244,300,507,260,
1500000,418,326,358,321,264,317,545,284,
